osm_id,code,fclass,name,type,area
"96073686","1500",building,,,"1122"
"96073689","1500",building,,,"351"
"96073690","1500",building,,apartments,"411"
"96073694","1500",building,,apartments,"541"
"96073696","1500",building,,apartments,"650"
"96073706","1500",building,,,"900"
"96073713","1500",building,,,"877"
"96073720","1500",building,,apartments,"703"
"96073730","1500",building,,apartments,"346"
"96073732","1500",building,,apartments,"659"
"96073737","1500",building,,apartments,"719"
"96073741","1500",building,,,"233"
"96073742","1500",building,,apartments,"692"
"96073745","1500",building,,apartments,"345"
"96073747","1500",building,,apartments,"886"
"96073751","1500",building,,apartments,"234"
"96073753","1500",building,,apartments,"376"
"96073754","1500",building,,apartments,"1397"
"96073762","1500",building,,apartments,"638"
"96073768","1500",building,,apartments,"671"
"96073769","1500",building,,apartments,"912"
"96075027","1500",building,,apartments,"562"
"96075029","1500",building,,apartments,"527"
"114575394","1500",building,,service,"458"
"114575401","1500",building,,,"210"
"114575414","1500",building,,service,"148"
"114575417","1500",building,,service,"440"
"114577866","1500",building,,service,"121"
"118232442","1500",building,,apartments,"610"
"118232445","1500",building,,apartments,"629"
"123702798","1500",building,,office,"1076"
"123702799","1500",building,Esselunga,retail,"2964"
"123702800","1500",building,,apartments,"552"
"123702802","1500",building,Grand Hotel Barone Di Sassj,hotel,"1047"
"123702804","1500",building,,apartments,"447"
"123702822","1500",building,Centro Civico Emanuela Loi e Claudio Traina,public,"1230"
"123702962","1500",building,Carrefour Market,retail,"2051"
"123702964","1500",building,,apartments,"265"
"123799314","1500",building,,apartments,"750"
"123799315","1500",building,,,"151"
"124446411","1500",building,,retail,"7786"
"124446474","1500",building,,office,"5258"
"124446709","1500",building,,hotel,"481"
"136382833","1500",building,,,"21080"
"136383024","1500",building,Chiesa di San Giuseppe,church,"1337"
"136668831","1500",building,,,"879"
"136668833","1500",building,,,"493"
"136668890","1500",building,,,"5649"
"136669007","1500",building,,,"6243"
"136669009","1500",building,,,"1684"
"137231318","1500",building,,,"1255"
"137231319","1500",building,,,"1347"
"137231320","1500",building,,,"1203"
"137231321","1500",building,,,"26842"
"137231967","1500",building,,,"396"
"138159739","1500",building,,roof,"1580"
"1997272","1500",building,,kindergarten,"1712"
"140575277","1500",building,,apartments,"580"
"140575278","1500",building,,,"994"
"140575280","1500",building,,commercial,"338"
"140575282","1500",building,,apartments,"244"
"140575285","1500",building,,apartments,"601"
"140575286","1500",building,,residential,"672"
"140575287","1500",building,,residential,"108"
"140575288","1500",building,,apartments,"311"
"140575289","1500",building,,apartments,"294"
"140575290","1500",building,,apartments,"431"
"140575291","1500",building,,apartments,"585"
"140575292","1500",building,,apartments,"580"
"140575293","1500",building,,,"667"
"140575294","1500",building,,apartments,"403"
"140575295","1500",building,,,"648"
"140575296","1500",building,,retail,"435"
"140575297","1500",building,,apartments,"342"
"140575298","1500",building,,,"302"
"140575299","1500",building,,residential,"188"
"140575300","1500",building,,,"161"
"140575502","1500",building,,apartments,"471"
"140575503","1500",building,,apartments,"539"
"140575504","1500",building,,apartments,"285"
"140575505","1500",building,,apartments,"258"
"140575506","1500",building,,apartments,"519"
"140575507","1500",building,,apartments,"514"
"140575508","1500",building,,apartments,"213"
"140575509","1500",building,,apartments,"1123"
"140575510","1500",building,,house,"93"
"140575511","1500",building,,apartments,"404"
"140575512","1500",building,,apartments,"403"
"140581659","1500",building,,commercial,"355"
"140581664","1500",building,,,"691"
"140581665","1500",building,,,"413"
